STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/18/2013,6.71,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,35,",,X",25,",,X",,,240,",,X",240,",,X",14.1,",,X",23,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/19/2013,9.84,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,51,",,X",30,",,X",,,250,",,X",260,",,X",19.9,",,X",32,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/20/2013,10.96,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,53,",,X",30,",,X",,,280,",,X",280,",,X",23,",,X",36.9,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/21/2013,5.14,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,32,",,X",26,",,X",,,310,",,X",320,",,X",15,",,X",21.9,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/22/2013,10.51,",,X",,,0,"T,,X,2400",0,"T,,X,",0,",,X,",,,27,",,X",13,",,X",,,290,",,X",290,",,X",19.9,",,X",29.1,",,X",,,,,,,,,,,1,",,W",,,,,,,1,",,X",,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/23/2013,7.83,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,20,",,X",11,",,X",,,280,",,X",280,",,X",17,",,X",25.9,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/24/2013,8.5,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,22,",,X",12,",,X",,,300,",,X",320,",,X",19.9,",,X",31.1,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/25/2013,6.71,",,X",,,0.07,",,X,2400",1.5,",,X,",0,",,X,",,,24,",,X",13,",,X",,,280,",,X",290,",,X",15,",,X",23,",,X",,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/26/2013,6.71,",,X",,,0,",,X,2400",0,",,X,",2,",,X,",,,27,",,X",15,",,X",,,300,",,X",290,",,X",17,",,X",27.1,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/27/2013,5.82,",,X",,,0,",,X,2400",0,",,X,",1,",,X,",,,34,",,X",19,",,X",,,280,",,X",290,",,X",14.1,",,X",21,",,X",,,,,,,,,,,,,,,,,,,,,,,,
